,名称,階数,家賃,管理費,間取り,面積,URL
427,ラフォーレ（小立野）,1階,1.7万円,2000円,1K,16.52m2,https://suumo.jp/chintai/jnc_000070014411/?bc=100259822373
428,フォーブル幸町Ｂ,1階,1.9万円,-,1K,16.25m2,https://suumo.jp/chintai/jnc_000013842166/?bc=000084877634
429,フォーブル幸町Ｂ,1階,1.9万円,-,1K,16.25m2,https://suumo.jp/chintai/jnc_000038775783/?bc=100172454788
430,サンライズコーポ,2階,1.2万円,-,1K,17.39m2,https://suumo.jp/chintai/jnc_000066832164/?bc=100195278315
431,サンライズコーポ,1階,1.2万円,-,1K,17.39m2,https://suumo.jp/chintai/jnc_000066832163/?bc=100140532817
432,サンライズコーポ,2階,1.2万円,-,1K,17.39m2,https://suumo.jp/chintai/jnc_000066832165/?bc=100122843757
433,コーポ小林,2階,1.3万円,-,1K,19.03m2,https://suumo.jp/chintai/jnc_000076097954/?bc=100279076946
434,コーポ富士,1階,1.2万円,1000円,1K,18.63m2,https://suumo.jp/chintai/jnc_000050485042/?bc=000057135725
435,リザアート,1階,1.5万円,-,1K,28.27m2,https://suumo.jp/chintai/jnc_000075807675/?bc=100291095257
436,リザアート,1階,1.5万円,-,1K,28.15m2,https://suumo.jp/chintai/jnc_000053108111/?bc=100271708106
437,ハイツラベンダー,1階,1.25万円,2500円,1K,24.01m2,https://suumo.jp/chintai/jnc_000074738864/?bc=100161810812
438,ハイツラベンダー,1階,1.75万円,2500円,1K,25.67m2,https://suumo.jp/chintai/jnc_000074738865/?bc=100210938713
439,ハイツラベンダー,2階,1.75万円,2500円,1K,25.67m2,https://suumo.jp/chintai/jnc_000074738866/?bc=100282105990
440,ハイツラベンダー,1階,1.75万円,2500円,1K,25.5m2,https://suumo.jp/chintai/jnc_000074745583/?bc=100130250568
441,ハイツラベンダー,1階,2.25万円,2500円,1K,24.01m2,https://suumo.jp/chintai/jnc_000073393398/?bc=100281480500
442,ハイツラベンダー,1階,2.75万円,2500円,1K,25.67m2,https://suumo.jp/chintai/jnc_000060810787/?bc=100281480491
443,砂山ハイツ,2階,1.5万円,-,1K,20m2,https://suumo.jp/chintai/jnc_000075102593/?bc=100274938671
444,コーポアベ,1階,1.5万円,1000円,1K,21.6m2,https://suumo.jp/chintai/jnc_000063897152/?bc=000051689688
445,第二コーポひまわり,1階,1.5万円,1000円,1K,21.5m2,https://suumo.jp/chintai/jnc_000064469450/?bc=000098678343
446,ラスクＢ,2階,1.4万円,2100円,1K,26.08m2,https://suumo.jp/chintai/jnc_000065126936/?bc=100012720673
447,野島ハイツII,1階,1.6万円,400円,1K,23.18m2,https://suumo.jp/chintai/jnc_000073636162/?bc=100279172159
448,野島ハイツII,2階,1.8万円,400円,1K,23.18m2,https://suumo.jp/chintai/jnc_000053108119/?bc=100287500602
449,野島ハイツII,2階,1.8万円,400円,1K,23.18m2,https://suumo.jp/chintai/jnc_000051060662/?bc=100164506714
450,野島ハイツII,2階,1.8万円,400円,1K,23.18m2,https://suumo.jp/chintai/jnc_000069159552/?bc=100255183849
451,新潟交通 グリーン団地前 2階建 築32年,2階,1.5万円,1500円,1K,29.7m2,https://suumo.jp/chintai/jnc_000075715357/?bc=100260560632
452,コーポ小針,2階,1.7万円,-,1K,17.4m2,https://suumo.jp/chintai/jnc_000074807764/?bc=100257506366
453,ＪＲ越後線 内野駅 2階建 築41年,2階,1.7万円,-,1K,17m2,https://suumo.jp/chintai/jnc_000075715362/?bc=100260560640
454,メゾン・モンブラン,2階,1.5万円,2100円,1K,17.01m2,https://suumo.jp/chintai/jnc_000029932220/?bc=100234648965
455,第10みどり,1階,1.7万円,150円,1K,24.01m2,https://suumo.jp/chintai/jnc_000044917444/?bc=100272282919
456,第10みどり,2階,1.8万円,150円,1K,24.01m2,https://suumo.jp/chintai/jnc_000066771118/?bc=100241661979
457,第10みどり,2階,1.8万円,150円,1K,22.34m2,https://suumo.jp/chintai/jnc_000072383322/?bc=100272282905
458,第一太陽コーポ,1階,1.7万円,400円,1K,19.87m2,https://suumo.jp/chintai/jnc_000072383317/?bc=100272282948
459,第一太陽コーポ,2階,1.8万円,400円,1K,19.87m2,https://suumo.jp/chintai/jnc_000044577543/?bc=100261323327
460,ローズハウス,2階,1.7万円,400円,1K,18.21m2,https://suumo.jp/chintai/jnc_000069056487/?bc=100217763249
461,ローズハウス,2階,1.7万円,400円,1K,18.21m2,https://suumo.jp/chintai/jnc_000069056489/?bc=100186591590
462,ローズハウス,2階,1.7万円,400円,1K,18.21m2,https://suumo.jp/chintai/jnc_000069056488/?bc=100218869437
463,コーポ彗星,2階,1.6万円,1500円,1K,21.1m2,https://suumo.jp/chintai/jnc_000056500203/?bc=100238525728
464,ターコイズアパート,2階,1.8万円,-,2K,29.81m2,https://suumo.jp/chintai/jnc_000066437201/?bc=100239451911
465,コーポシーガル,1階,1.8万円,-,1K,23.76m2,https://suumo.jp/chintai/jnc_000022494851/?bc=100257565204
466,ＪＲ越後線 内野駅 2階建 築35年,2階,1.8万円,-,1K,23.1m2,https://suumo.jp/chintai/jnc_000075646995/?bc=100266394436
467,LUNAアズーリ,1階,1.7万円,1000円,1K,22.01m2,https://suumo.jp/chintai/jnc_000071444362/?bc=100258034095
468,林檎館,2階,1.8万円,-,1K,19.83m2,https://suumo.jp/chintai/jnc_000075607506/?bc=100289859665
469,ミキハウスIII,1階,1.8万円,-,1K,19.8m2,https://suumo.jp/chintai/jnc_000071318707/?bc=100267030361
470,ミキハウスIII,2階,1.8万円,-,1K,19.8m2,https://suumo.jp/chintai/jnc_000071318713/?bc=100267030359
471,ミキハウスIII,2階,1.8万円,-,1K,19.8m2,https://suumo.jp/chintai/jnc_000071328924/?bc=100267066836
472,ミキハウスIII,2階,1.8万円,-,1K,19.8m2,https://suumo.jp/chintai/jnc_000071318712/?bc=100267030352
473,ミキハウスIII,2階,1.8万円,-,1K,19.8m2,https://suumo.jp/chintai/jnc_000071318710/?bc=100267030351
474,ミキハウスIII,2階,2.3万円,-,1K,19.8m2,https://suumo.jp/chintai/jnc_000072964597/?bc=100267030343
475,ミキハウスIII,1階,2.3万円,-,1K,19.8m2,https://suumo.jp/chintai/jnc_000072964596/?bc=100267030354
476,ミキハウスIII,2階,3万円,-,1K,19.8m2,https://suumo.jp/chintai/jnc_000072964598/?bc=100267030350
477,ミキハウスIII,1階,3万円,-,1K,19.8m2,https://suumo.jp/chintai/jnc_000071318708/?bc=100267030347
478,ミキハウスIII,1階,3万円,-,1K,19.8m2,https://suumo.jp/chintai/jnc_000071318705/?bc=100267030342
479,ミキハウスIII,1階,3万円,-,1K,19.8m2,https://suumo.jp/chintai/jnc_000071318706/?bc=100267030360
480,第二海山荘,2階,1.8万円,-,1K,19m2,https://suumo.jp/chintai/jnc_000058597974/?bc=100272102595
481,コーポアイビス,1階,1.8万円,-,1K,17.85m2,https://suumo.jp/chintai/jnc_000066186995/?bc=100138904742
482,ベルトピア新潟II,2階,1.8万円,-,1K,17m2,https://suumo.jp/chintai/jnc_000050004624/?bc=100257474162
483,L collection松海が丘,1階,1.8万円,-,1K,16.89m2,https://suumo.jp/chintai/jnc_000050281662/?bc=100292945427
484,L collection松海が丘,2階,2.9万円,-,1K,16.89m2,https://suumo.jp/chintai/jnc_000074315024/?bc=100292945429
485,第９レジデンス,1階,1.8万円,350円,1K,23.19m2,https://suumo.jp/chintai/jnc_000072383331/?bc=100272282917
486,第９レジデンス,1階,1.8万円,350円,1K,23.19m2,https://suumo.jp/chintai/jnc_000072383330/?bc=100272282915
487,第９レジデンス,2階,2.1万円,350円,1K,23.19m2,https://suumo.jp/chintai/jnc_000069164080/?bc=100255183851
488,第９レジデンス,1階,2.1万円,350円,1K,23.19m2,https://suumo.jp/chintai/jnc_000072027056/?bc=100270436639
489,第９レジデンス,2階,2.1万円,350円,1K,23.18m2,https://suumo.jp/chintai/jnc_000072383336/?bc=100272282931
490,第９レジデンス,1階,2.1万円,350円,1K,23.18m2,https://suumo.jp/chintai/jnc_000055987282/?bc=100187833935
491,第９レジデンス,2階,2.3万円,350円,1K,23.19m2,https://suumo.jp/chintai/jnc_000072027057/?bc=100270436666
492,第９レジデンス,2階,2.3万円,350円,1K,23.18m2,https://suumo.jp/chintai/jnc_000072027058/?bc=100270436622
493,第９レジデンス,1階,2.4万円,350円,1K,24.84m2,https://suumo.jp/chintai/jnc_000072383328/?bc=100272282906
494,コーポ青嵐,1階,1.9万円,-,1K,25.92m2,https://suumo.jp/chintai/jnc_000066056165/?bc=100222316988
495,コーポ青嵐,1階,1.9万円,-,1K,23.49m2,https://suumo.jp/chintai/jnc_000066056163/?bc=100208603541
496,ビレッジハウス福光1号棟,5階,1.4万円,-,2K,33.09m2,https://suumo.jp/chintai/jnc_000073305924/?bc=100277746985
497,ビレッジハウス福光1号棟,5階,1.6万円,-,2K,33.09m2,https://suumo.jp/chintai/jnc_000074929924/?bc=100286092493
498,ビレッジハウス福光1号棟,1階,2.3万円,-,2K,33.09m2,https://suumo.jp/chintai/jnc_000074929923/?bc=100285943802
499,ビレッジハウス福光2号棟,5階,1.6万円,-,2K,33.09m2,https://suumo.jp/chintai/jnc_000073305928/?bc=100277747009
500,ビレッジハウス福光2号棟,5階,1.7万円,-,2K,33.09m2,https://suumo.jp/chintai/jnc_000075696690/?bc=100290407222
501,ビレッジハウス福光2号棟,5階,1.7万円,-,2K,33.09m2,https://suumo.jp/chintai/jnc_000075781650/?bc=100290916964
502,まどかハイツ,2階,1.7万円,-,1K,19.5m2,https://suumo.jp/chintai/jnc_000067175089/?bc=100214447159
503,まどかハイツ,3階,1.7万円,-,1K,19.5m2,https://suumo.jp/chintai/jnc_000062725524/?bc=100292379933
504,まどかハイツ,3階,1.8万円,-,1K,19.5m2,https://suumo.jp/chintai/jnc_000075618107/?bc=100289917087
505,ビレッジハウス井波2号棟,5階,1.8万円,-,2K,33.54m2,https://suumo.jp/chintai/jnc_000074777015/?bc=100285097865
506,ビレッジハウス井波2号棟,3階,2.1万円,-,2K,33.54m2,https://suumo.jp/chintai/jnc_000074777013/?bc=100285097859
507,ビレッジハウス井波2号棟,3階,2.2万円,-,2K,33.54m2,https://suumo.jp/chintai/jnc_000074777014/?bc=100285097868
508,ビレッジハウス井波2号棟,1階,2.5万円,-,2K,33.54m2,https://suumo.jp/chintai/jnc_000074777012/?bc=100285097863
509,ＡＫＩＢＡハイツ１号棟,1階,1.9万円,-,1K,21.94m2,https://suumo.jp/chintai/jnc_000065404727/?bc=100213052937
510,高岡メゾンオークラ,2階,1.7万円,2900円,1K,20.52m2,https://suumo.jp/chintai/jnc_000072937152/?bc=100225253600
511,ビレッジハウス井波1号棟,5階,2万円,-,2K,33.54m2,https://suumo.jp/chintai/jnc_000061749109/?bc=100286092433
512,ビレッジハウス井波1号棟,4階,2.1万円,-,2K,33.54m2,https://suumo.jp/chintai/jnc_000074386632/?bc=100283531102
513,ビレッジハウス井波1号棟,3階,2.1万円,-,2K,28.98m2,https://suumo.jp/chintai/jnc_000075208227/?bc=100287616794
514,ビレッジハウス井波1号棟,3階,2.2万円,-,2K,28.98m2,https://suumo.jp/chintai/jnc_000074981421/?bc=100286251080
515,ビレッジハウス井波1号棟,1階,2.4万円,-,2K,33.54m2,https://suumo.jp/chintai/jnc_000074777011/?bc=100285097867
516,レジデンスアポロン,1階,2万円,-,1K,21.62m2,https://suumo.jp/chintai/jnc_000075413425/?bc=100261971070
517,レジデンスアポロン,1階,2.3万円,-,1K,21.62m2,https://suumo.jp/chintai/jnc_000072952323/?bc=100261970856
518,レジデンスアポロン,4階,2.3万円,-,1K,21.62m2,https://suumo.jp/chintai/jnc_000072952333/?bc=100275302373
519,レジデンスアポロン,1階,2.3万円,-,1K,21.62m2,https://suumo.jp/chintai/jnc_000072952321/?bc=100262033425
520,レジデンスアポロン,2階,2.3万円,-,1K,21.62m2,https://suumo.jp/chintai/jnc_000072952326/?bc=100266798729
521,レジデンスアポロン,2階,2.3万円,-,1K,21.62m2,https://suumo.jp/chintai/jnc_000075955558/?bc=100292000605
522,レジデンスアポロン,3階,2.3万円,-,1K,21.62m2,https://suumo.jp/chintai/jnc_000072952330/?bc=100266798701
523,レジデンスアポロン,3階,2.3万円,-,1K,21.62m2,https://suumo.jp/chintai/jnc_000072952328/?bc=100262033411
524,レジデンスアポロン,2階,2.3万円,-,1K,21.62m2,https://suumo.jp/chintai/jnc_000072952324/?bc=100261970957
525,レジデンスアポロン,4階,2.5万円,-,1K,21.62m2,https://suumo.jp/chintai/jnc_000072952331/?bc=100275302379
526,レジデンスアポロン,2階,2.5万円,-,1K,21.62m2,https://suumo.jp/chintai/jnc_000075413426/?bc=100288709990
527,レジデンスアポロン,2階,2.5万円,-,1K,21.62m2,https://suumo.jp/chintai/jnc_000072952325/?bc=100275302380
528,シャンティ・デート,1階,1.8万円,2000円,1K,21.6m2,https://suumo.jp/chintai/jnc_000071878196/?bc=100269630223
529,ラフィネ東町,2階,1.8万円,2000円,1K,18.72m2,https://suumo.jp/chintai/jnc_000024021613/?bc=100210289141
530,ラフィネ東町,1階,2万円,2000円,1K,21.28m2,https://suumo.jp/chintai/jnc_000045415269/?bc=100141023237
531,ラフィネ東町,2階,2万円,2000円,1K,19.98m2,https://suumo.jp/chintai/jnc_000041997833/?bc=100238332079
532,ラフィネ東町,3階,2万円,2000円,1K,19.42m2,https://suumo.jp/chintai/jnc_000042121980/?bc=100228719286
533,まどかハイツ,1階,2万円,-,1K,21.08m2,https://suumo.jp/chintai/jnc_000033284017/?bc=100186710211
534,ハッピーハイツ,3階,2万円,-,1K,20.44m2,https://suumo.jp/chintai/jnc_000065689295/?bc=100235802611
535,コーポフレンズ,2階,1.7万円,3000円,1K,19.61m2,https://suumo.jp/chintai/jnc_000039555818/?bc=100256512020
536,コーポフレンズ,2階,1.7万円,3000円,1K,19.61m2,https://suumo.jp/chintai/jnc_000039555819/?bc=100268191925
537,サントピア北代,1階,2万円,-,1K,18.73m2,https://suumo.jp/chintai/jnc_000055803023/?bc=100241647519
538,サントピア北代,2階,2.1万円,-,1K,18.73m2,https://suumo.jp/chintai/jnc_000053989717/?bc=100277978682
539,サントピア北代,2階,2.3万円,-,1K,18.73m2,https://suumo.jp/chintai/jnc_000055026083/?bc=100161817617
540,グランデ大山,4階,1.9万円,2000円,1K,30.78m2,https://suumo.jp/chintai/jnc_000069642347/?bc=100230684819
541,グランデ大山,4階,1.9万円,2000円,1K,30.78m2,https://suumo.jp/chintai/jnc_000069669646/?bc=100283834907
542,ビレッジハウス小矢部1号棟,4階,2.1万円,-,2K,28.98m2,https://suumo.jp/chintai/jnc_000076077351/?bc=100292747786
543,ビレッジハウス小矢部1号棟,1階,2.8万円,-,2K,28.98m2,https://suumo.jp/chintai/jnc_000047053218/?bc=100283531106
544,ビレッジハウス小矢部2号棟,4階,2.1万円,-,2K,28.98m2,https://suumo.jp/chintai/jnc_000075993359/?bc=100292549632
545,羽広ハイツ,2階,1.9万円,2000円,1K,28.84m2,https://suumo.jp/chintai/jnc_000054080339/?bc=100271040658
546,アーバン１,3階,1.8万円,3000円,1K,25.35m2,https://suumo.jp/chintai/jnc_000070723972/?bc=100262003609
547,レジデンスたか,4階,1.9万円,2000円,1K,22m2,https://suumo.jp/chintai/jnc_000056711586/?bc=100249474435
548,レジデンスたか,2階,1.9万円,2000円,1K,22m2,https://suumo.jp/chintai/jnc_000056429470/?bc=100287452771
549,ＪＲ高山本線 西富山駅 4階建 築40年,2階,1.9万円,2000円,1K,22m2,https://suumo.jp/chintai/jnc_000056436527/?bc=100259011377
550,ＪＲ高山本線 西富山駅 4階建 築40年,4階,1.9万円,2000円,1K,22m2,https://suumo.jp/chintai/jnc_000057298338/?bc=100194074890
551,ボルファートＢＢ,2階,1.9万円,2000円,1K,21.27m2,https://suumo.jp/chintai/jnc_000072495030/?bc=100270893321
552,ボルファートＢＢ,3階,2.4万円,2000円,1K,21.27m2,https://suumo.jp/chintai/jnc_000072495031/?bc=100270893287
553,ボルファートＢＢ,2階,2.4万円,2000円,1K,21.27m2,https://suumo.jp/chintai/jnc_000072495032/?bc=100270893318
554,ボルファートＢＢ,2階,2.4万円,2000円,1K,21.27m2,https://suumo.jp/chintai/jnc_000074222213/?bc=100282284165
555,ＪＲ高山本線 西富山駅 2階建 築29年,1階,1.9万円,2000円,1K,21m2,https://suumo.jp/chintai/jnc_000070534337/?bc=100262760223
556,Ｊハイツ,2階,1.8万円,3000円,1K,18.36m2,https://suumo.jp/chintai/jnc_000042579606/?bc=100228331712
557,Ｌａ　ｖｉｔａ五福,1階,1.8万円,3000円,1K,15.6m2,https://suumo.jp/chintai/jnc_000074427536/?bc=100283570492
558,Ｌａ　ｖｉｔａ五福,3階,1.8万円,3000円,1K,15.6m2,https://suumo.jp/chintai/jnc_000073808511/?bc=100280241914
559,Ｌａ　ｖｉｔａ五福,4階,1.8万円,3000円,1K,15.6m2,https://suumo.jp/chintai/jnc_000073808512/?bc=100280241892
560,富山地鉄富山市内線 富山大学前駅 4階建 築44年,3階,1.8万円,3000円,1K,15.6m2,https://suumo.jp/chintai/jnc_000073250448/?bc=100277026540
561,富山地鉄富山市内線 富山大学前駅 4階建 築44年,1階,1.8万円,3000円,1K,15.6m2,https://suumo.jp/chintai/jnc_000073851993/?bc=100280511105
562,富山地鉄富山市内線 富山大学前駅 4階建 築44年,3階,1.8万円,3000円,1K,15.6m2,https://suumo.jp/chintai/jnc_000069693386/?bc=100259011456
563,富山地鉄富山市内線 富山大学前駅 4階建 築44年,4階,1.8万円,3000円,1K,15.6m2,https://suumo.jp/chintai/jnc_000073250449/?bc=100277026590
564,富山地鉄富山市内線 富山大学前駅 4階建 築44年,4階,1.8万円,3000円,1K,15.6m2,https://suumo.jp/chintai/jnc_000069693388/?bc=100259011381
565,コーポフィーリング,1階,2万円,2000円,1K,25m2,https://suumo.jp/chintai/jnc_000036716291/?bc=100284218244
566,コーポフィーリング,2階,2万円,2000円,1K,25m2,https://suumo.jp/chintai/jnc_000036695490/?bc=100283923266
567,マイルーム戸出,1階,1.9万円,3000円,1K,23.18m2,https://suumo.jp/chintai/jnc_000075845315/?bc=100270893256
568,マイルーム戸出,2階,2.2万円,3000円,1K,23.18m2,https://suumo.jp/chintai/jnc_000070723971/?bc=100243526303
569,コーポレーション荏原,2階,2万円,2000円,1K,23.1m2,https://suumo.jp/chintai/jnc_000061641542/?bc=100250201773
570,コーポ与志乃,2階,1.9万円,3000円,1K,21.3m2,https://suumo.jp/chintai/jnc_000066338222/?bc=100238741200
571,コーポ与志乃,2階,2.2万円,3000円,1K,21.3m2,https://suumo.jp/chintai/jnc_000072773794/?bc=100274333025
572,ビレッジハウス西春近1号棟,5階,1.3万円,-,2K,33.61m2,https://suumo.jp/chintai/jnc_000074141683/?bc=100278494201
573,ビレッジハウス西春近1号棟,4階,1.5万円,-,2K,33.61m2,https://suumo.jp/chintai/jnc_000075379001/?bc=100288512668
574,ビレッジハウス西春近1号棟,3階,1.7万円,-,2K,33.61m2,https://suumo.jp/chintai/jnc_000075379000/?bc=100288512665
575,泉ハイツ,1階,1.35万円,-,1K,28.98m2,https://suumo.jp/chintai/jnc_000059471738/?bc=100284889869
576,泉ハイツ,1階,1.35万円,-,1K,23.18m2,https://suumo.jp/chintai/jnc_000056967500/?bc=100291847192
577,泉ハイツ,1階,1.4万円,-,1K,21.87m2,https://suumo.jp/chintai/jnc_000028532244/?bc=100284243772
578,金原荘,2階,1.5万円,-,2K,34.02m2,https://suumo.jp/chintai/jnc_000074705058/?bc=100284737532
579,ＪＲ飯田線 伊那北駅 2階建 築35年,1階,1.5万円,-,1K,23.1m2,https://suumo.jp/chintai/jnc_000066587065/?bc=100290446978
580,レイクビュー,2階,1.5万円,-,1K,16.87m2,https://suumo.jp/chintai/jnc_000070112069/?bc=100266570268
581,レイクビュー,2階,1.5万円,-,1K,16.87m2,https://suumo.jp/chintai/jnc_000070131469/?bc=100266570415
582,キャッスルピア,1階,1.5万円,-,1K,16.8m2,https://suumo.jp/chintai/jnc_000065251756/?bc=100292312134
583,キャッスルピア,1階,1.5万円,-,1K,16.8m2,https://suumo.jp/chintai/jnc_000052752922/?bc=100288694890
584,ＪＲ信越本線 長野駅 2階建 築33年,2階,1.6万円,-,1K,19m2,https://suumo.jp/chintai/jnc_000074169409/?bc=100281976204
585,ホワイトパレス,2階,1.7万円,-,1K,19m2,https://suumo.jp/chintai/jnc_000070501744/?bc=100193259594
586,ホワイトパレス,1階,1.7万円,-,1K,19m2,https://suumo.jp/chintai/jnc_000074459815/?bc=100283767018
587,メイプルハウス,1階,1.5万円,2000円,1K,17.39m2,https://suumo.jp/chintai/jnc_000072946827/?bc=100274706959
588,朝路荘,2階,1.5万円,2200円,2DK,40.5m2,https://suumo.jp/chintai/jnc_000075175662/?bc=100264089598
589,朝路荘,2階,1.5万円,2200円,2DK,40.5m2,https://suumo.jp/chintai/jnc_000075175665/?bc=100287405605
590,朝路荘,2階,1.5万円,2200円,2DK,40.5m2,https://suumo.jp/chintai/jnc_000075175664/?bc=100270273315
591,朝路荘,1階,1.5万円,2200円,2DK,40.5m2,https://suumo.jp/chintai/jnc_000075175663/?bc=100263372159
592,ＪＲ飯田線 伊那北駅 2階建 築35年,1階,1.75万円,-,1K,18m2,https://suumo.jp/chintai/jnc_000073522635/?bc=100278542439
593,クレール伊北,2階,1.8万円,-,1K,22.1m2,https://suumo.jp/chintai/jnc_000075142881/?bc=100287201920
594,ビレッジハウス川岸　１号棟,2階,1.9万円,-,2K,33.54m2,https://suumo.jp/chintai/jnc_000055200796/?bc=100278931518
595,ビレッジハウス川岸　１号棟,3階,2.1万円,-,2K,33.54m2,https://suumo.jp/chintai/jnc_000076184926/?bc=100293407971
596,コーポハラ,2階,1.9万円,-,1K,26.49m2,https://suumo.jp/chintai/jnc_000072059482/?bc=100270618522
597,コーポハラ,2階,2.5万円,-,1K,26.49m2,https://suumo.jp/chintai/jnc_000026279911/?bc=100256206047
598,コーポハラ,2階,2.7万円,-,1K,29.75m2,https://suumo.jp/chintai/jnc_000075658875/?bc=100290178116
599,ハイシティー,2階,1.9万円,-,1K,24.8m2,https://suumo.jp/chintai/jnc_000063164019/?bc=100288220005
600,ハイシティー,5階,1.9万円,-,1K,24.8m2,https://suumo.jp/chintai/jnc_000060580358/?bc=100288219900
601,ハイシティー,4階,1.9万円,-,1K,24.8m2,https://suumo.jp/chintai/jnc_000060580357/?bc=100288219922
602,ハイシティー,5階,1.9万円,-,1K,24.8m2,https://suumo.jp/chintai/jnc_000068824698/?bc=100291232529
603,ハイシティー,5階,1.9万円,-,1K,24.8m2,https://suumo.jp/chintai/jnc_000064803681/?bc=100291232519
604,ハイシティー,5階,1.9万円,2000円,1K,24.8m2,https://suumo.jp/chintai/jnc_000074757250/?bc=100288219961
605,ハイシティー,2階,1.9万円,2000円,1K,24.8m2,https://suumo.jp/chintai/jnc_000013874895/?bc=100288219966
606,ハイシティー,3階,1.9万円,2000円,1K,24.8m2,https://suumo.jp/chintai/jnc_000069655351/?bc=100288219892
607,グリーンピア,1階,1.9万円,-,1K,23.2m2,https://suumo.jp/chintai/jnc_000076151302/?bc=100293179680
608,生山荘,1階,1.7万円,2000円,1K,21.53m2,https://suumo.jp/chintai/jnc_000046229732/?bc=100278239589
609,コスモパレス,1階,1.9万円,-,1K,19.8m2,https://suumo.jp/chintai/jnc_000073648456/?bc=100279265810
610,プリマベーラ,1階,1.9万円,-,1K,13m2,https://suumo.jp/chintai/jnc_000073088163/?bc=100268533528
611,プリマベーラ,2階,2万円,1000円,1K,13m2,https://suumo.jp/chintai/jnc_000073088164/?bc=100257223801
612,プリマベーラ,1階,2.3万円,1000円,1K,13m2,https://suumo.jp/chintai/jnc_000016023282/?bc=100290542164
613,プリマベーラ,2階,2.7万円,1000円,1K,13m2,https://suumo.jp/chintai/jnc_000016840819/?bc=100230943417
614,プリマベーラ,2階,2.7万円,1000円,1K,13m2,https://suumo.jp/chintai/jnc_000073133965/?bc=100276367684
615,浜アパートＡ,1階,1.9万円,830円,1K,21.53m2,https://suumo.jp/chintai/jnc_000072098592/?bc=100270803471
616,浜アパートＡ,2階,1.9万円,830円,1K,21.53m2,https://suumo.jp/chintai/jnc_000072098590/?bc=100270803469
617,浜アパートＡ,1階,1.9万円,830円,1K,21.53m2,https://suumo.jp/chintai/jnc_000072098593/?bc=100270803498
618,浜アパートＡ,1階,1.9万円,830円,1K,21.53m2,https://suumo.jp/chintai/jnc_000072098594/?bc=100270803501
619,浜アパートＡ,2階,1.9万円,830円,1K,21.53m2,https://suumo.jp/chintai/jnc_000072098589/?bc=100270803496
620,浜アパートＡ,2階,1.9万円,830円,1K,21.53m2,https://suumo.jp/chintai/jnc_000072098595/?bc=100270803495
621,浜アパートＡ,2階,1.9万円,830円,1K,21.53m2,https://suumo.jp/chintai/jnc_000072098591/?bc=100270803493
622,松風荘,1-2階,2万円,-,2DK,45.6m2,https://suumo.jp/chintai/jnc_000013872907/?bc=100290045006
623,すみれ荘,2階,2万円,-,2K,33m2,https://suumo.jp/chintai/jnc_000022623999/?bc=100148731900
624,みのわアパート,1階,2万円,-,1K,29.7m2,https://suumo.jp/chintai/jnc_000067843011/?bc=100202951442
625,みのわアパート,1階,2万円,-,1K,29.7m2,https://suumo.jp/chintai/jnc_000067843010/?bc=100247813149
626,みのわアパート,2階,3万円,-,2DK,31.4m2,https://suumo.jp/chintai/jnc_000031017947/?bc=100172423593
627,みのわアパート,2階,3万円,-,2DK,31.4m2,https://suumo.jp/chintai/jnc_000073942149/?bc=100180285323
628,メゾンド泉I,2階,2万円,-,1K,28.9m2,https://suumo.jp/chintai/jnc_000032128334/?bc=100215201926
629,メゾンド泉I,1階,2万円,-,1K,28.9m2,https://suumo.jp/chintai/jnc_000064034134/?bc=100227312415
630,メゾンド泉I,1階,2万円,-,1K,28.9m2,https://suumo.jp/chintai/jnc_000031211802/?bc=100184128720
631,メゾンド泉I,2階,2万円,-,1K,28.9m2,https://suumo.jp/chintai/jnc_000032128333/?bc=100215202008
632,メゾンド泉I,2階,2.5万円,-,1K,28.9m2,https://suumo.jp/chintai/jnc_000013874218/?bc=100215201944
633,グリーンハイツイゲタヤ,2階,2万円,-,1K,26.4m2,https://suumo.jp/chintai/jnc_000013879322/?bc=100259295478
634,グリーンハイツイゲタヤ,2階,2万円,-,1K,26.4m2,https://suumo.jp/chintai/jnc_000065351947/?bc=100233938831
635,ますやアパート,1階,2万円,-,1K,26m2,https://suumo.jp/chintai/jnc_000075759408/?bc=100290791589
636,グリーンパーク,1階,1.8万円,2000円,1K,24.8m2,https://suumo.jp/chintai/jnc_000049145860/?bc=100155928281
637,グリーンパーク,1階,1.8万円,2000円,1K,24.8m2,https://suumo.jp/chintai/jnc_000013874188/?bc=100054591135
638,グリーンパーク,1階,1.8万円,2000円,1K,24.8m2,https://suumo.jp/chintai/jnc_000066669632/?bc=100241130768
639,清水アパート,1階,2万円,-,1K,23.22m2,https://suumo.jp/chintai/jnc_000074476492/?bc=100283835224
640,東町荘,2階,2万円,-,2K,23.21m2,https://suumo.jp/chintai/jnc_000064910427/?bc=100231548244
641,ロイヤル２１,2階,1.7万円,3000円,1K,23.1m2,https://suumo.jp/chintai/jnc_000049694526/?bc=100264110463
642,ロイヤル２１,2階,1.7万円,3000円,1K,23.1m2,https://suumo.jp/chintai/jnc_000044832728/?bc=100136460243
643,ロイヤル２１,6階,1.7万円,3000円,1K,23.1m2,https://suumo.jp/chintai/jnc_000054840134/?bc=100284386168
644,川西ハイツ,2階,2万円,-,1K,21m2,https://suumo.jp/chintai/jnc_000071974947/?bc=100270190217
645,川西ハイツ,1階,2万円,-,1K,21m2,https://suumo.jp/chintai/jnc_000070339813/?bc=100261659598
